id,final,source,old_name,google_name,name_sim,distance_m,business_status,food_signal,google_primary_type,google_phone,google_rating,has_photo,old_address,google_address,llm_verdict,llm_conf,llm_reason,google_maps_uri
4676,verified,regular,הטאבון,הטאבון בעיר,1.000,6,OPERATIONAL,food,bakery,03-656-5333,4.2,yes,"יגאל אלון 155, תל אביב, Israel","Yigal Alon St 155, Tel Aviv-Yafo, Israel",,,,https://maps.google.com/?cid=7564180652782999340&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
3047,verified,regular,שיפודי התקווה,שיפודי התקווה ראשון לציון,1.000,40,OPERATIONAL,food,restaurant,050-605-8855,3.7,yes,"רוז'נסקי 11, ראשון לציון, Israel","Rozhanski St 11, Rishon LeZion, 7574516, Israel",,,,https://maps.google.com/?cid=18390808537608705386&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
2030,verified,regular,המייסדים 16,המייסדים 16,1.000,4,OPERATIONAL,food,restaurant,04-858-0555,4.5,yes,"המייסדים 16, זכרון יעקב, Israel","Ha-Meyasdim St 16, Zikhron Ya'akov, Israel",,,,https://maps.google.com/?cid=17132189596345031615&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
5823,no_match,llm-no,גריל עוף,Grill chicken,0.000,892,OPERATIONAL,food,restaurant,03-549-9989,4.2,yes,"סוקולוב 41, רמת השרון, Israel","Ha-Netsakh St 23, Ramat Hasharon, Israel",no,0.85,Different streets (Sokolov vs Ha-Netsakh) and large distance (892m) in same city. Generic name 'Grill chicken' without clear address match cannot confirm same business.,https://maps.google.com/?cid=12284695439743492973&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
4680,verified,llm,מקסיקנה,Mexicana,0.333,50,OPERATIONAL,food,mexican_restaurant,03-696-0616,4.6,yes,"אלוף קלמן מגן 3, מתחם שרונה, תל אביב, Israel","Aluf Kalman Magen St 3, Tel Aviv-Yafo, Israel",yes,0.95,"Exact match: Hebrew 'מקסיקנה' translates to 'Mexicana'. Identical street address (Aluf Kalman Magen 3), same city (Tel Aviv), minimal distance (50m). Unique restaurant name with clear translation correspondence.",https://maps.google.com/?cid=17185519690384060815&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
5286,verified,llm,פיצה הדקלים,Palm Pizza,0.400,115,OPERATIONAL,food,pizza_restaurant,02-651-5366,4.4,yes,"הרב ריינס 12, גבעת שאול, ירושלים, Israel","HaRav Reines St 12, Jerusalem, Israel",yes,0.95,"Name matches (פיצה הדקלים = Palm Pizza, 'דקלים' = palms); street and house number 12 match exactly (HaRav Reines St = הרב ריינס); same city (Jerusalem/ירושלים); 115m distance is likely due to coordinate imprecision",https://maps.google.com/?cid=8445350466145382848&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
1749,uncertain,llm-uncertain,בורגראנץ',בורגראנץ' סניף אילת,1.000,1264,OPERATIONAL,food,fast_food_restaurant,1-700-700-600,3.7,yes,"המוצר 1, אילת, Israel","קניון הים האדום, Sderot HaTmarim 2, Eilat, Israel",yes,0.92,"Both listings are clearly for Burgerantz's Eilat branch. Despite the distance (1264m), the names match exactly (Hebrew name identical), both specify Eilat location, and both refer to shopping centers in Eilat. Our address data is often inaccurate for house numbers/streets, and these are likely the same Burgerantz branch in different shopping mall locations or data variants.",https://maps.google.com/?cid=9695304095451596065&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
5982,no_match,nonfood-reject,השניצליה,Oshiland Mall,0.250,19164,OPERATIONAL,nonfood,shopping_mall,,3.7,yes,"עתיר ידע 4, קניון אושילנד, כפר סבא, Israel","Atir Yeda St 6, Kefar Sava, Israel",,,,https://maps.google.com/?cid=14712210315343692667&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
1235,verified,llm,ללוש בראסרי באר שבע,Cafe La Lush,0.286,88,OPERATIONAL,food,restaurant,08-623-7337,4.1,yes,"חיטה 1, באר שבע, Israel","סינמה סיטי, חיטה, באר שבע, Israel",yes,0.92,Same business (Lush Brasserie) in same city (Beer Sheva) on same street (Chita). Distance of 88m is reasonable given address variations (building 1 vs Cinema City complex on same street). Name match: 'ללוש' = 'Lush'. Google listing uses 'Cafe La Lush' variant which is a common naming variation for the same establishment.,https://maps.google.com/?cid=13380078976889233921&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
3606,flagged,llm-no,פיצה רימינו,RONZO PIZZA,0.500,17,OPERATIONAL,food,pizza_restaurant,03-698-8889,5,yes,"ביאליק 13, ראשון לציון, Israel","Bialik St 13, Rishon LeZion, 7526824, Israel",no,0.95,"Names do not match: 'פיצה רימינו' (Pizza Rimino) vs 'RONZO PIZZA' are completely different. Street and house number align perfectly (Bialik 13, Rishon LeZion), but the business names show no translation/transliteration relationship, indicating different establishments at the same address or a significant name change that cannot be verified.",https://maps.google.com/?cid=5722813570944451870&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
