id,final,source,old_name,google_name,name_sim,distance_m,business_status,food_signal,google_primary_type,google_phone,google_rating,has_photo,old_address,google_address,llm_verdict,llm_conf,llm_reason,google_maps_uri
2137,no_match,llm-no,חומוס בסבוסה,Hummus Eliyahu,0.364,456,OPERATIONAL,food,restaurant,04-989-0916,4.5,yes,"התמר 2, קניון דרכים יקנעם, Israel","תחנת ""דלק"" פארק תעשיה יוקנעם, Yokne'am Illit, Israel",no,0.85,"Different businesses in same city. 'Hummus Basavusa' (our listing) is at 'Ha-Tamar 2, Derachim Mall' while 'Hummus Eliyahu' (Google) is at a gas station/industrial park. 456m distance + different addresses + different names (not translations) indicate separate establishments.",https://maps.google.com/?cid=7155724250145036371&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
3620,no_match,llm-no,מייק בורגר,זד בורגר | Z BURGER - ראשון לציון,0.500,1135,OPERATIONAL,food,hamburger_restaurant,03-574-3333,4.6,yes,"זד""ל 1, ראשון לציון, Israel","Pika St 44, Rishon LeZion, Israel",no,0.85,"Different street addresses (זד""ל vs Pika St) and 1135m distance apart. Names are similar but differ ('מייק בורגר' vs 'זד בורגר'). These appear to be separate burger restaurant locations in Rishon LeZion.",https://maps.google.com/?cid=17525693958068336234&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
1259,verified,regular,פיצה קרמלין Kremlin,פיצה קרמלין,1.000,32,OPERATIONAL,food,pizza_delivery,08-955-3544,4,yes,"תש""ח 9, אשדוד, Israel","Tashah St 9, Ashdod, Israel",,,,https://maps.google.com/?cid=4910870167064313419&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
3217,no_match,llm-no,כתר המזרח,Shuk Tzafon,0.125,5937,OPERATIONAL,other,market,03-643-2000,4,yes,"ראול וולנברג 20, רמת החייל, תל אביב, Israel","Raoul Wallenberg St 20, Tel Aviv-Yafo, Israel",no,0.95,"Different business names with no translation/transliteration relationship. 'כתר המזרח' (Keter HaMizrach/Crown of the East) and 'Shuk Tzafon' (Northern Market) are completely different establishments. Despite matching street address, the 5.9km distance and distinct names indicate these are not the same business.",https://maps.google.com/?cid=13472924890299466760&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
1885,verified,regular,שיפודי הפינה,שיפודי הפינה,1.000,156,OPERATIONAL,food,restaurant,077-431-4375,4.6,yes,"הרצל 9, אשקלון, Israel","Herzl St 9, Ashkelon, Israel",,,,https://maps.google.com/?cid=8352620923985375970&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
5654,no_match,llm-no,חנו'ס פיצה,איטליינוס פיצה מטבח איטלקי אותנטי מזכרת בתיה,0.188,26602,OPERATIONAL,food,pizza_delivery,077-934-9500,4.4,yes,"שד' אליהו 21, מזכרת בתיה, Israel","Duvdevan St 1, Mazkeret Batya, Israel",no,0.95,"Different names (חנו'ס vs איטליינוס), different streets (Eliahu St vs Duvdevan St), different house numbers (21 vs 1), and large distance (26.6km) indicate these are different pizzerias in the same city.",https://maps.google.com/?cid=17962907511257722195&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
6151,no_match,llm-no,ככר האיכר-פיצה בכיכר,פיצה צ׳יז רעננה,0.133,606,OPERATIONAL,food,pizza_restaurant,09-745-4302,5,yes,"שברץ 22, רעננה, Israel","Ahuza St 106, Ra'anana, Israel",no,0.95,"Different streets (Shvartz vs Ahuza), different house numbers (22 vs 106), 606m apart, and different business names (Kikar HaiKar vs Pizza Cheez). No clear alignment on address or name.",https://maps.google.com/?cid=14794429207029883987&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
4272,no_match,llm-no,הג'חנון של רועי,ג'חנון ראסמי השרון וראש העין,0.333,1116,OPERATIONAL,food,meal_delivery,053-249-5550,4.8,yes,"וולפסון 7, ראש העין, Israel","Yehoshu'a Bin Nun St 1, Rosh Haayin, Israel",no,0.85,"Different street addresses (Wolfson 7 vs Yehoshua Bin Nun 1) with significant 1116m distance between them. While both are in Rosh Haayin and share 'jachnun' in name, the substantial address difference suggests these are separate business locations, likely different branches of similar establishments.",https://maps.google.com/?cid=8315622352960190970&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
1265,flagged,rule,‎מאיליס פאשן קייקס Maili's Fashion Cakes,Maili's - Fashion Cakes,1.000,32,CLOSED_PERMANENTLY,food,restaurant,,4.3,yes,"הנמל 9, אשקלון, Israel","Ashkelon, Israel",,,,https://maps.google.com/?cid=17982208396046853160&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
5087,verified,address-first,קאשקבל קייטרינג חלבי,"קרמשניט - קייטרינג בוטיק חלבי, מגשי אירוח, קונדיטוריה",0.667,3052,OPERATIONAL,food,catering_service,051-554-4389,5,yes,"הפלמ""ח 28, ירושלים, Israel","Israel Zangvill St 9, Jerusalem, 96548, Israel",,,,https://maps.google.com/?cid=2107045275759138998&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
2068,verified,llm,קונדיטוריה שני,קונדיטוריה שני,1.000,383,OPERATIONAL,food,cafe,04-877-0190,4.4,yes,"שד' ויצמן 8, קריית מוצקין, Israel","8, Sderot Weizman 2, Kiryat Motzkin, Israel",yes,0.95,"Identical business name (קונדיטוריה שני), same street (Sderot Weizman/שד' ויצמן), same house number (8), same city (Kiryat Motzkin). The 383m distance and slight address format differences are likely due to coordinate inaccuracies in our database, not a different location. Street and number match clearly.",https://maps.google.com/?cid=12061594974436035733&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
1915,no_match,llm-no,השיפודיה של כהן,שלומי שיפודין,0.364,4605,OPERATIONAL,food,barbecue_restaurant,,4.8,yes,"דוד המלך 2, באר שבע, Israel","יס לפאנט, Be'er Sheva, Israel",no,0.95,"Different business names (השיפודיה של כהן vs שלומי שיפודין), different streets (דוד המלך vs יס לפאנט), and very large distance (4.6km) - clearly separate locations despite both being skewers restaurants in Be'er Sheva",https://maps.google.com/?cid=17823311072840744919&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
