id,final,source,reason,old_name,old_address,city,country,country_code,old_lat,old_lng,place_id,google_name,google_address,google_lat,google_lng,business_status,google_primary_type,google_types,google_maps_uri,google_phone,google_rating,google_rating_count,google_opening_hours,has_photo,google_photo_name,google_photo_attribution
7538,verified,llm-yes,"LLM אישר (0.95): Identical unique restaurant name (B'sari/Bsari Burger Bar - transliteration variant), same street (W Howard St Chicago), and address numbers within 2 units (2727 vs 2729) indicating same location with minor database discrepancy. Street match + unique name + same city + negligible address variance = same physical place.",B'sari Burger Bar,"2727 W Howard St Chicago, IL, 60645, United States",Chicago,United States,US,41.8755616,-87.6244212,ChIJNcrRydrPD4gR1G0i1qJbQ30,Bsari Burger Bar,"2729 W Howard St, Chicago, IL 60645, USA",42.0191177,-87.6983539,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=9026158833116016084&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(773) 707-3777,4.7,35,Monday: 11:30 AM – 7:30 PM | Tuesday: 11:30 AM – 7:30 PM | Wednesday: 11:30 AM – 7:30 PM | Thursday: 11:30 AM – 7:30 PM | Friday: Closed | Saturday: Closed | Sunday: 3:00 – 7:30 PM,yes,places/ChIJNcrRydrPD4gR1G0i1qJbQ30/photos/AaVGc3lo6BZx1BEV6ehuNW-AGy3ArEnTqqbt6hHF1fECWASaGsvCuAMlYtElfvsNbuI52l_Tbo5HzZIA-14dG167mCMdrvht0APh2EnlWbWZhB1gk0_YWBAhLiRrqWPt-2uEyiJh8ama9a__s2T0pLehC3qZ-_-hx3_7fA22YznEMoMh5_HzjGeD6V6oLup05MnKBaqZplaiCzLXkIPi_qpG7T0yxFeH9UQEnYgDqIrP9QIpObjTS8II3Tg61unUCh2YY5aOtWqgglWzZKO4pbkMcpdJiUXtAGIzL3QPfLXCTuZGMJbe4w4B-Q5Rz-lzuvxDcGofavEbEuQdmiJaUa1HllS6vHHO7UzwvJw2Sl6CxZb6x0aL9szGN7K1-5r2VLs2InHzOz0IT6jLQVDaAGPQfX4v2c_ZFsyoU_in3PL2hqEMu6x2CFRqrDgddS8gDGzG,Yehiel M Kalish
7539,verified,rules-yes,unique name matches + same city,Crunch,"8170 N McCormick Blvd, Skokie, IL, 60076, USA",Chicago,United States,US,41.8755616,-87.6244212,ChIJLf25XP3PD4gROvNSl9TY5uw,Crunch Catering & Restaurant,"8170 N McCormick Blvd Suite 100, Skokie, IL 60076, USA",42.0297249,-87.71264289999999,OPERATIONAL,restaurant,restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=17070569845177905978&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(847) 213-0494,4.7,91,Monday: 11:00 AM – 8:00 PM | Tuesday: 11:00 AM – 8:00 PM | Wednesday: 11:00 AM – 8:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 8:00 AM – 2:00 PM | Saturday: Closed | Sunday: 11:00 AM – 7:00 PM,yes,places/ChIJLf25XP3PD4gROvNSl9TY5uw/photos/AaVGc3lEwpdpQShXjIyESAqIpXls2in15sfRvwUBhyQROqhtl5wxFRpcG9Zlfbsra-6YxfggiAHjkML1II2QqPvIoIU3TVoERWNDy2HInvfO2_41juB5zgNi_pPI9Ahpg-w2lnpShn0dvKbUdyTXzt6LIYNXnZd1DY3Gn0YkquXQI3RNbOQZ9zbmWwcUR__CFuuKC8L-YdvaycGTo93HaQctfI8-Xd3s-tgzyuZUogC4AFklVAvo4m57umqJGoJBPGLjX_RkD-BrT45Cr2f0HmgT2OmAeGaxOmMkWN0FvhUkcCaATnPRNgiXTlz2SnR2JzQSAFBg7c740Jo4evw1WRBa1OHsgamwlk7nAUORGhDaBl37yKcr8cPKQUbqucLQqOeFp-h8quDuJVt0ZEOEI2ju42vQSGaIzaKrmwt4I7AI2DFYoHqQFAvMjoQ2OAojhg9K,Yehiel M Kalish
7540,no_match,llm-no,"LLM דחה (0.85): Address mismatch: A lists 3742 W Devon Ave, B lists 3472 W Devon Ave. These are different street numbers (270 units apart, ~544m distance confirmed). Same street and city, but different building locations make them different establishments. Name variants (Dairy Star vs Dairy Star Ice Cream of Lincolnwood) are consistent, but address discrepancy is critical.",Dairy Star,"3742 West Devon Avenue, Lincolnwood, 60712-1124, Illinois",Chicago,United States,US,41.9973458,-87.723092,ChIJodugkz_OD4gRMXuY5jkmSfA,Dairy Star Ice Cream of Lincolnwood,"3472 W Devon Ave, Lincolnwood, IL 60712, USA",41.99755,-87.71651,OPERATIONAL,ice_cream_shop,ice_cream_shop;fast_food_restaurant;dessert_shop;confectionery;food_store;store;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=17314412272526326577&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(847) 679-3472,4.6,1522,Monday: 12:00 – 11:00 PM | Tuesday: 12:00 – 11:00 PM | Wednesday: 12:00 – 11:00 PM | Thursday: 12:00 – 11:00 PM | Friday: 12:00 PM – 12:00 AM | Saturday: 2:00 PM – 12:00 AM | Sunday: 12:00 – 11:00 PM,yes,places/ChIJodugkz_OD4gRMXuY5jkmSfA/photos/AaVGc3n8r0O53IOzUt976DR_PHSJBfVPnUBYR7GzdDo5Y26J1xQ1RUkhjz33L8qo-4yQ24yaxiCYX8SBEYb5vcRQbyUqd5Weke_A7lbxL-2v4ps75IlPyXPfKHGOqSs-g_bl-D0XFyzC5xaXP9nHaWZpkcPyyO-Cd3doPydC5hECSxa3domwpg2qtHnoGDsxyNdM4F8fY3VwFP2wVEl5dh-RqR3vaIeM05FYrX3NNgr6sgA1EfbK6JoRT-JQpZ4KkE-PRmpLcaBKsffMYWitwMIDZvJOM5ZCjkMTIB0ENBgp0863agf2UsQ80tTgbreu8y1OkHIpWIQBurdCse5HTWmYB7KBBk_4hfMkY96Yc-6paBISENP1WaOEBHNCjWiDz56aidHjDlowd7fkZ52kYCRokSz0bzOOFb-rHKW_f_YpGnGPVg,Elias Fernandez
7541,no_match,llm-no,"LLM דחה (0.95): Different cities (Chicago vs Miami Beach), different addresses, different locations. While both have 'Danziger Kosher' in name, they are clearly separate establishments - one at Wrigley Field in Chicago, one in Miami Beach. Different branches of same business would need to be confirmed, but geographic distance (1,900+ km) and distinct addresses make them different physical locations.",Danziger Kosher Midwest,"Wrigley Field, 1060 W Addison St, Chicago, IL 60613, USA, Chicago, IL 60613, USA",Chicago,United States,US,41.8755616,-87.6244212,ChIJwy6yJectDogRbde9BpOPn7w,Danziger Kosher Catering,"5055 Collins Ave, Miami Beach, FL 33140, USA",25.8275424,-80.1210024,OPERATIONAL,catering_service,catering_service;food_delivery;service;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=13591740062063515501&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(847) 982-1818,4.3,15,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Closed | Sunday: Open 24 hours,yes,places/ChIJwy6yJectDogRbde9BpOPn7w/photos/AaVGc3nHyX7RnIB7Y9-Q8VPkBtWnPwknJVlcOmU9v9RfHsGQJl4iEVKMk0N1OUvmZwlez2BEB8ez1VzSAf8WZcr7ck20TQOClUCaiXKrlUym_H9OAcf7JTRyEkrBhv4ldm0IUfclKkBsoyl0Pvzm3ZI-p1zFodAlqXYUplpZNxugJ4t-5ccY3U49RJ04uBneu01Ski3cB9d9jk_K1py6Rk21GHEHS4bf6oMMlBPqxjfwbxqwhhSCm7dPSlYEtyJ2lbqHMA7cSpDCud4GsDjmqFFbw6lus8WUQ6ZFhS7J3bj7a1LCK3gXWqmCIfR7hc66oixMUeq3MioAtYDwXxekY24CFogrVrP9VwoStVhSiok2LLrgensy7pThmBlx1kB5F9pQKF9gQC6HX9Abb_KOFkHQRmvtq9hWyulMWK-e1L3O9lQCrA,Michael Delott
7542,verified,llm-yes,"LLM אישר (0.95): Same Dunkin' Donuts location at identical address (3900 Dempster St, Skokie, IL 60076). Name variants (Dunkin Donuts vs Dunkin') are standard for this chain. House number and street match exactly. Minor address formatting differences (Street vs St) are inconsequential. Distance metric appears to be calculation error. Google status OPERATIONAL confirms active location.",Dunkin Donuts Skokie,"3900 Dempster Street, Skokie, IL 60076, United States",Chicago,United States,US,41.8755616,-87.6244212,ChIJpzXcMpfPD4gRfwu0kdEix_w,Dunkin',"3900 Dempster St, Skokie, IL 60076, USA",42.0410642,-87.7256028,OPERATIONAL,coffee_shop,coffee_shop;donut_shop;fast_food_restaurant;bagel_shop;breakfast_restaurant;cafe;bakery;meal_takeaway;food_store;store;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=18214565501411265407&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(847) 673-7099,3.7,426,Monday: 4:00 AM – 10:00 PM | Tuesday: 4:00 AM – 10:00 PM | Wednesday: 4:00 AM – 10:00 PM | Thursday: 4:00 AM – 10:00 PM | Friday: 4:00 AM – 10:00 PM | Saturday: 4:00 AM – 10:00 PM | Sunday: 4:00 AM – 10:00 PM,yes,places/ChIJpzXcMpfPD4gRfwu0kdEix_w/photos/AaVGc3nqd3CDGEhOgECHNidEi1tjyGNZYuail2RJodJdEs4tkB2wBqfuc_vM5-dm46fw9Hy945Qm8mz2Yg99Mj5FNRHp2H85prlKMSmnt8YUBeiU3wUnBzRFgJQz8NR2bwPXo9d3BD0yYm3yySCLmwFeWyxUJY404hD1XfUO8DhklWVvjVBBqZ8v5D8KEqeGNWNhjeBuuKItWc2XdTo4vBEJ1EEHBalhjN32ufCzDKO9W25QkiDOoHmzWKUJgW7zzZV-z0xj7ML4U-ra7aQGGRqgtxQD7X_JFWN4IEHMH9zaCcvZJHqnNi22QMnaN8mA9ZDLEPaOUliYNlN-KoI06wyol2A2Cg0Cy6B3DNQko7hjJjKO8K7eu2uyWWyDO3eaht-LsnqRTHDhD1x8RdkJsw2J72qDt-x2DR_kwsjS1RE2YfNuQGjC,You Li
7543,verified,llm-yes,"LLM אישר (0.95): Same exact street address (3132 W Devon Ave), same city (Chicago), same business type (Dunkin Donuts). B lists only 'Dunkin'' name (current branding - Baskin Robbins integration may not be reflected in Google). Operational status confirms active location. Minor address format variations are insignificant.",Dunkin Donuts/Baskin Robbins,"3132 West Devon Avenue West Rogers Park, Chicago, 60659-1427, Illinois",Chicago,United States,US,41.9976965,-87.7084352,ChIJ17uoOT3OD4gRXpvJhTO1FhE,Dunkin',"3132 W Devon Ave, Chicago, IL 60659, USA",41.9976876,-87.7084402,OPERATIONAL,coffee_shop,coffee_shop;fast_food_restaurant;donut_shop;breakfast_restaurant;bagel_shop;cafe;meal_takeaway;bakery;food_store;store;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=1231370781024951134&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(773) 262-4561,3.7,805,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,yes,places/ChIJ17uoOT3OD4gRXpvJhTO1FhE/photos/AaVGc3li2HOxATQyfcbXgRanDSkJ85pgC4scEX2wZdW1NaurHFkKLBc2QMLOZC8K7iPyX93nJjYp9GAzZhXGtcmO705cs91gzk_er-o8PPdnG1nx9ofT9oFGfLCrO1L9Wl7JgRCFzU6kxMf58Y4bCxOTpNZyRO-oIFquFZLD4AMiWuFtLEsYfBzWcIlH3ljGekmQV1RnsBsyONu8uZdf4-wThpxWR8pvk6TsvhcZmSqko9pNJS8L6iD0NSVmV7v3jRLMMCtcYxyiFGb6_B1QLIPhoWCqqlRW18uSUR8JM7MOleTY1lgLvhnev9O2_pF9OlPv9GHga6Ry8waoVGTUuesaIwF0mhD6PKOWDczShvbXbm4BQOEiCIuv67XTP8tbk942fCbIx2HQFv7n-8V46D93mNUMnwP8rTRYV3fit-E-sqYkI40B,Shimon Saphire-Bernstein
7544,verified,rules-yes,unique name matches + same city,EJ's Pizzeria,"9149 Gross Point Road, Skokie, IL 60077, USA",Chicago,United States,US,41.8755616,-87.6244212,ChIJfxi0nmXPD4gRGKLdDDct4JM,EJ's Pizzeria,"9149 Gross Point Rd, Skokie, IL 60077, USA",42.0470982,-87.74891579999999,OPERATIONAL,pizza_restaurant,pizza_restaurant;italian_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=10655566432820896280&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(224) 534-7215,4.3,397,Monday: 11:00 AM – 7:00 PM | Tuesday: 11:00 AM – 7:00 PM | Wednesday: 11:00 AM – 7:00 PM | Thursday: 11:00 AM – 7:00 PM | Friday: 11:00 AM – 1:00 PM | Saturday: 7:00 – 11:00 PM | Sunday: 11:00 AM – 7:00 PM,yes,places/ChIJfxi0nmXPD4gRGKLdDDct4JM/photos/AaVGc3nr3oZ90p4cChjCJCAJCB6IFMYvfo-3lXOEZRO_G5_7RuBnac6Hsm7ZmUcNs6vW_aCKG3gjryJUkKI4opogFVv_4WscS3yqO0kLrdAIQor3PYg3fxHpJZjnfqKKF5zMjEJ3WNjSlkZNojRQ6N6nXLNiHsQsXPSMm-1ICFiwTX3Vm8X-IXVlWRkiReXX6f5BzDyHiCibB2x0oCTO_3SC6ZW-UCb_jMl7KRTPHI1ahfTxvWPs_8-u8Udn1sOGOnmGh7QqMqp1sfo2ccH641go-qDxnzt6nDHmMboRk3SAORz3Glx6wGuW0Of0L1zoxbWK1vfWwJtfhVlAQlKkm32L-jB13QK90uRYd1RDlhhHwJ4vUc8JPrhltDM-fYx2BB6CcNZwPxxTIczIrdyYEJ0AmZsJsKFwENI2BZukslZUEqLnh1a6,T Kling
7545,verified,rules-yes,unique name matches + same city,Emma's Bagel Cafe,"9306 Skokie Blvd, Skokie, IL 60077, USA",Chicago,United States,US,41.8755616,-87.6244212,ChIJ0YuItWTPD4gRokRQ44TQWcU,Emma's Bagel Cafe,"9306 Skokie Blvd, Skokie, IL 60077, USA",42.049862,-87.747352,OPERATIONAL,breakfast_restaurant,breakfast_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=14220626567567000738&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(847) 673-3030,4.4,1021,Monday: 6:30 AM – 7:30 PM | Tuesday: 6:30 AM – 7:30 PM | Wednesday: 6:30 AM – 7:30 PM | Thursday: 6:30 AM – 7:30 PM | Friday: 6:30 AM – 2:00 PM | Saturday: Closed | Sunday: 7:00 AM – 7:30 PM,yes,places/ChIJ0YuItWTPD4gRokRQ44TQWcU/photos/AaVGc3nLIkoh87r70lXKSgOUFpO6tYGZvwGYBXG7J3S5tiaMbs-jdivLpTZOXj1Df_H0ZgcJOsHpaY2ShBNjCNi3PFXRHoECbGykEv_2gBPzyBE88ZqBWiHbxwF9H9Ie6wbvFAFKxe7Y0GQnDyi27s7Btj7y8Z9Zbmvvh6i2ee9zCGFb-ff2dMbzKjMpIKDAfpkyRbt8HEw5ny_LA4nz1osmU4t5ESFb9H6IVjMaLWR8rVLYYUaYX2nZL52q2PBr3r2CeKhxpqOIalpwu7C4lDTJg9mj71qoT4UoFbJMprqkrmv3dghc82xHoUB4J2XfH7X3l__tTpfbEAxFH_JyZMdrdvFpvWPsuXq_WPEjQivM9S7EqZquZoyBleF-vb8G9emcbkVASzbsxOlmb_QCqdEzmddYQ4kjNq7PVXUZHp8lA0d69a15,You Li
7546,verified,llm-yes,"LLM אישר (0.92): Same exact address (6255 N McCormick Blvd, Chicago), matching restaurant type (steakhouse, Argentinian), and name variants (Evita Argentinian vs Evita). Closed temporarily status doesn't negate identity. Minor name shortening is typical for Google listings.",Evita Argentinian Steakhouse,"6255 N McCormick Blvd, Chicago, IL 60659, United States",Chicago,United States,US,41.8755616,-87.6244212,ChIJuW3UghbOD4gR5rYoqXVa-zk,Evita Steakhouse,"6255 N McCormick Blvd, Chicago, IL 60659, USA",41.9950705,-87.71177740000002,CLOSED_TEMPORARILY,argentinian_restaurant,argentinian_restaurant;south_american_restaurant;steak_house;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=4178032540711958246&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(224) 521-3631,4.5,568,,yes,places/ChIJuW3UghbOD4gR5rYoqXVa-zk/photos/AaVGc3nL5q3d_r67wmZzNEDuKvvQcePC96hUg2fP-8VhHyRDIwCRMfZVwZXSXheFmAKJ0U4s3uxO5Iu4dNct8MiWDa1aLdrgCHu8cfz63TFPKQY-D0sFFG5Lj66BRXs8fLQrWfOkXimRx_34sd21Ma_AOsM_rOW4uwFfzhFoQMLz6pyeHcoVeLrI_SH-oCwshx0nVGuBMeNTXY7dqn0dcdQQ2CASeDmFt50sAOXOmmz0PKHE061ASQBKU5OjLKpoB0kXzvAojKUSXZe62LizjVLwX2vxDh0Z-KAVv0Q0yDTQ2yGKTYqcGdZsBaxe-Yt8zeH_sz1-HyIgKSx3W5iphdxhdjvhLR47JuY0Vc5GRzhipReybI3JBml7dXHQmTDAbxtqDC-JfizsOhO6nauqru5o0ope80YXDs0GUJJu7VahnPrJVg,Michael Pinto
7547,verified,rules-yes,unique name matches + same city,Graeter's Ice Cream,"1347 Shermer Road, Northbrook, IL 60062",Chicago,United States,US,42.1282537,-87.8274127,ChIJG0bkbDDHD4gRIOZiyz7VCbY,Graeter's Ice Cream,"1347 Shermer Rd, Northbrook, IL 60062, USA",42.128231,-87.827427,OPERATIONAL,ice_cream_shop,ice_cream_shop;catering_service;cake_shop;candy_store;food_delivery;coffee_shop;dessert_shop;cafe;confectionery;bakery;wholesaler;food_store;store;manufacturer;service;food;point_of_interest;establishment,https://maps.google.com/?cid=13117249855370225184&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(224) 213-7606,4.4,430,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,yes,places/ChIJG0bkbDDHD4gRIOZiyz7VCbY/photos/AaVGc3knyWHYvo494M1DGJf1nJQisKsZSvQ8mVjfvF8MEiqrYdL8TEFkMzc91D2UpZio5DfKXlj8aCFyzDJh6tmWVeYVJ5F-kAfQCxpxXn7ZfpyCi5Za2Y1e2dvKfbMaSAGIVEFjkPqTXmaO_QJZvQVqtjjpWU-cTZJGJzu4rfnlsQtbUqqsM8FyWBj0zfhMe3t59azpm_zfFyZ9nEPMCH4yb3jUcXXCcDW6MiGVbNz8raylswKEvWdT4hI00IQchEUs00Srli7mmiTdxcWaVb6h-ieyiJyu2KkKqrplu0MQ32o0TRWNRvfC3lft9eL0C7gY_g2l2iL5mrv1WPhF4bcRGyu-vVzbFHdIp-a1j2tnMUw6nFXhgDORbbpXPo6gO2nqExlPo8Rkqxdrg9zfFbLWUBIJKSeUKvu8YVtHKuEo8GSWcA,Deplorable Rob
