id,name,action,reason,old_photo_url,old_photo_source,new_photo_url,new_photo_source,new_photo_attribution,google_photo_name
64,קפה קפה,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783350602/restaurants/google/restaurant_64_google_800.jpg,google,Galit Trager,places/ChIJ2bY7OXxLHRURfw6xXr7krLo/photos/AaVGc3lQurFTueu_r9l3pvQ7lU8bEqIYhm4O2FP7H3Ts8H9Vg24IVCCEhLGDV9Xl5lHSzlQbVRTugIApnvXNBDwFmUpOKpf0Qa41Uuv25B3NYQ3-ZOX4d1jM5dikiRRAKwfXeofXAJmrr_JEZd-zvlqlk-uZAMpCgld13U1Uey_AwcEm6wobsbNpI6fAetoBM_VMroTlt_KbEGdj_fBMUV7PZGPcnL4chr014kjMyJeO6Wbo6h6qHfTMsgb7WP1bEzMSoPYAqJLxnXrCF4c50oasB1hSPLGbcpg3ie4bX3mHTUMzSJtbSfs4VEqKWJMCsp6GLENBCvVwGLgjWilammvkup3d_HSDg_hiskm4xhCw8dKKNWgG5DWY0-7FN-F38mitgOdRNFyu49i3gRHe-vj1Cz5pEF335D4Ak1gN-GmtUkYSCQ
570,המקסיקני,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783350607/restaurants/google/restaurant_570_google_800.png,google,Atia Aviran,places/ChIJNYxcr7jFAhURnVSz0d60RvY/photos/AaVGc3mHWyXYTPZNX-BJ4F-h-w0aRbYlwduVqM_h5_mT3WaYv01ikXBV3dtsaQ0x6A5r5_FWrQKJ7Lfa5-Nx5mu6Plbwxb9p8KduU94jPhTH67llz0svLojkbMK7egn1zF-Z1QycY2l55FGgdKDmJpufTvkXnt5WJTQ3wewZeo3vkEVfmwtej2QKWPNm92JiTjWeKtc7Nv2AUy7UNB-X2yhJqyH0KHJc1So0Q2VRQY74vM-jP12i2yJ8xbrlYqAxzKcp5n5ZokMbTKNmWmxWqVEelSu0iptIDFuwA9m_Qvv37V3e3-7dVI4USH_Zi0jyV8w3H9lrTp7B1bKa8EBEH6yO8L9fRy1rvJyGzRalqmovEPzKIRiTghZguQj5Km5JNa8p7SF3iGg1ahYnXB5ASAmlxN7ILhj0C2VVGuSKzewhTt3Szw
584,המאפה הצרפתי,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783350610/restaurants/google/restaurant_584_google_800.jpg,google,בגט לה פריזיאן 26,places/ChIJ9clooqxqHRURclWExYvjigo/photos/AaVGc3n1x8yqQzNfzCcdi9_6HA8K6m_Rnly4NBxdZjmLAl7r9tk3XF_TotX0PYCTPBUmYZMwv0si2lyVEZn9GIh9VTi85VGdy1LUBz_3UrvzS9PekgqzVlAgZvVUwr4q2c2JsSgiG6_mlCwX5uIMK2eOx1mPlE3--NuAIiA3xTSV4AlDf5_h9Z_VknyWkeyiOeyP_-UafVnXPil0sNvZqOGboAOhSDzdeP-tkcsGbLa_1xWtlVbIjTti5GHHdeIRPneOi6Y1rvkXAJ4VkMOwTB8bLCIg62joX3ECpSf9okUdQbLfXmQPF-W2HxsioeTdILZ7gJKJEAYxWjCSoiNPIrDWxyEO6FI7pJ4M00KwY_C4u1mHfxrZ_IGGL86Qjc26EjjkgiZK6anGuYuQbPSiZLPppSwwfK62HgDcukVouM1T-ZWuovA
1208,קפה קפה,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783350612/restaurants/google/restaurant_1208_google_800.jpg,google,אייל קידר,places/ChIJ0-2eyeFlAhURlt0uNOmojqk/photos/AaVGc3nbYliiL3FOe3HhrGaKu2qfh8NHIQaPIkakLNnvmIRR9ugo1bNOnb10YF0TIpVAJCdIQOfwUfD2qPJKTcXCKmt1OLNTj_P-eTNIxsFlBd9_9ydZIfEygmHMH_d3NLRgEouOEk5sdfeMuJwvv7pBIsDH6J_D1smYNoAujkxa0-6wHHMCS4l8iixNNjoMFTpFvdzQg3U2kEZ02jMxfw13BdQpEFOnZEkCI36kdfZapGyevQn0BE67hk36DqfOBs3lW8KyF3aLE5AuXTe8O937NK6FKx_OYkATR0BnrI0RfDcDxRg8dlXVKHJYvmISvW0VrNW1jYRuvjQ2KIRJvReqKJWYTPLzf7jcR9YbuTwnPTwZhRQVsJWnhssuREvA7b9HTpWkVaR30BFVDICzH1jcQ6G_RgfFZhvwR153JXcPmOxZLQwR
1228,לורנס,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783350615/restaurants/google/restaurant_1228_google_800.jpg,google,Oved Shalem,places/ChIJLfMTqOhxABUR94IwYM2vH0k/photos/AaVGc3n7SbNSG6DsfFre0od1vsVeyLbVQ-QY2mP_1i4SojJnyy3X1aTVFlL6belpaKCG9SxOX378bTeen7bvBU-eAsrwR3oJ_2jE8ua2gdm4Ty7rxAvLa5fsuISb2Yz2rsnAfcYVqct2N3T5JgxyrgQGt8bLnqJnpnNAX7gyE8nyUn-vL3r4x8fy7assaAaZeNP1wLhLOfD_0IBMjXpJnrtyj35VmeDduE9cTB9pJEwP59-qmnOGtU5FOH6g9OVG4P78SzmK4EFZGI6RTd-yq5ckPbyuZhK82WNwDMVx2pRvnVrtmZyDL9KbETiPXtRyfzMZY8Y3vz7cVaMJ8m8WoAixbP4xiHvzZ34qf7M2CQwIeMJG5UIaJvcihe324AdAVa7RWYudiNCeoFw2N2sOmDClEgPu8XuLL3Z9tyjNmWurZgw5Vw
1304,פיצה פרגו,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783350616/restaurants/google/restaurant_1304_google_800.jpg,google,מאיה רובין,places/ChIJqQhknxxyABURpV9O3kLGaws/photos/AaVGc3nLI5tcFLByCIdXlqepYp6pJQeGZUb5xq9NsyPYjpHPWaklto1w8-mQTdMv8uaOwrAJ00ZgZZHiEdvXx_G9ypgiIAJ_3vxMK6EL5C0LHaBMOvBqhlDy-NAyyXHW6tgK05lN8NDeUyuSrbntJmfywPEJe0oEZmRLHpeJMOh27HhvGsgE2mcY_RLLd28g3kaxUspgXnDYVhqC-wcgt7YKwhaiQegR3YbrBB4IBTNe9FpIiBp5gBkTgaeSVnuuA4FNVJfErZuAZ_b_RPRE6xmx68CUzyrFpo1GglwH38l1OlhCU1TpzpRdSCRNgsCllPKZA5s9Z8SDx-oJSi40BGkE6TJ4Y5tYzQmJhyedOxCrStVRKkU3ra42LqebDvGhC33hyB1K8tjhTrlMgqstXtzzxqJOGJicBlKBVd4QByJVFMi3ONBG
1316,פיצריית המושבה,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783350618/restaurants/google/restaurant_1316_google_800.jpg,google,אלנתן בן דוד,places/ChIJt7hASfORAhUR9TlKK7XIxk0/photos/AaVGc3mPhVFbwIpUZMoi35nJjSowJrHASCiG-XeKKX-b6yYczA89H-FEcImiqzJvGc6m3qLgzO7NOx2oDnt5pa_QpdvdmwTtPXQIJcZQMEqSqNl5uU84wT-X3cPMn-7zeh9DkHjbLxy7pVIAOWWyeqpmFU2na_htyJxvpIq18pzaYQWoDiohvLsZ0khWsLgXtwMweOvZkf2KjghBgwImFK4sU0MUb-tHaCJSkfb9lhhFsystliVGtmyR4C2qSM4OiF4oN0Ma6JfNvrP3XRBWCqT8W8wrlGzimcQMyq4LIVZCsigJG2NnkEfZHYU-Nc0GTf7DxWTjr4sAk1Uoktrpx-hO6yRBvZbbPnOalO5v8rtn3qjTkwWoUO-QQh4ec8aW-waALrpG901SPxdVKCWqdLe5lFVgsxYbP4nQ1v8FhGR3372JKQ
1319,cofix,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783350620/restaurants/google/restaurant_1319_google_800.jpg,google,Avi Avizmil,places/ChIJgTFEO2KRAhURejOnLleZbLg/photos/AaVGc3mDhmOocs71VD934WYrdIG-JHX7zKFUkRz4h347Y-SIBkC69BUGxaugHvebkhjqqPNnR75Q1OKx_rACAKfQbDncdi6B1wdQd2CpfQbTMEp2q4xxaRdAQsvLPu6X5tfV0N-Sh2gEDJkKmeMkhQJrZRSgBBpEwYw7S6WbfkyJtfOekdIxij9H_EbAn6vpweiuotFHmBdOOUjycI32aSSFHqmmYEzK5w1jQF4CpQw9Hl6P7WEOgDjMhWdR76rC2uxiNQNjYVOJOQJXrCK955-R6maiqDqKdBYn9gNOytStvgPgUfFwkxR8X1NxmvqjP-faYyqdsoACq49SZDlp4KffN8iI_Ddymmmq9QHnnuXF3Cf6T5LOMzoNbgJUm6EJ0ru9wfsk43ezPU9G0tMs-FVChR8zvhdr1rVx2naOSinzSwosYA
1376,פלאפל'ס,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783350623/restaurants/google/restaurant_1376_google_800.jpg,google,פבל פ.,places/ChIJE_IqlXZHAhURwfUEEYnP2mE/photos/AaVGc3lx3posUydAMlrPs3yxnkPB8rPH1pKkmkRGke0lD1KMgQRmEXryYLgf8IGTZrG1sbwyuT0lPjNFpbHDeWorl0LBDmqszpJooh-1mbi4MpA0sfmcs---ZIYKj_4lPEn_D2x3BdcDJnAdGsuF91ZdZ573rEKa8KgqPraqCI_EOjw2uglkBnGmLjnd0U4aTvVGEmdO4gtQoPYv4oqGOVRlhlUiZ7P2QNXImmAloQS8BnJ2xKlOV0HSMGJOxHxb09ufG_piFSjnrhDWk6DfG3wSQq58P3QTApBMsUaGpWLmB6Gc5jcSFO7bCjFhicw3jrH5SWtJejgeB1VrBMt44z4PJAe6ai8fMwj_9AoBf_F7eJwaFCJf23tHZJuqdJDnKb3U2s1Z9lIQHu3OSvr41iRIZfSjA5LnCYARO-WlaZ4Zww4CtA
1469,קייטרינג שף,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783350626/restaurants/google/restaurant_1469_google_800.jpg,google,הסכין והקרש-שף פרטי-עדי אליהו-קייטרינג- באר שבע,places/ChIJA5eTNNllAhURf4AhMa8xxbM/photos/AaVGc3mJQVV6XAukkrnL-Mty8iJ8Xk4_uLln9Yih4k6DvVmdx68H_hwofn5ASaWrqdmpqrjpM5SkmZiNIR2JkW8bXXp8lGjV7jyjuEI8IyGM8u7lZozxYizMgLLggYB40zctVMIWhAjs7-fZWgeEtNuZhxBXcrxLCUkg1-ANExY2KsBDfqhz9KfVB4c5QCvbAdmLSnryJ7bXbpLlTxW9kS5RmH_Ogbogym_oztdo_enDgVgfb17ahfRSi4WqwlUhd9l4XKjrwzDV_XwFS5iOlV9euIJgEkKWmjLdUVDdK0IfeL83iCWhYKMqSSSh1BpHvZRqzEu5vLEVteXOYajkIl6vars1_RFvM8xT86hZQXyjr31_huSOCsJr_fuFWfsH8LvfBkUTY_ZSGj_4jZg2v-vAZaWmM_kDcwfXcrerz0Cg6ai6e5Dt
