id,name,dest,country,address,kosher_certified,source_quality,confidence,certifying_body,evidence,source_url,friReason,satReason
4705,El Galpon,Buenos Aires,Argentina,"Av. Corrientes 2900, Buenos Aires",no,directory,0.85,,"לא נמצאו ראיות לתעודת כשרות של 'El Galpon' בכתובת Av. Corrientes 2900. בחיפושים בבסיסי נתונים של מסעדות כשרות בבואנוס איירס, רק 'Al Galope' (שם שונה) רשום כמסעדה כשרה.",https://www.totallyjewishtravel.com/kosherrestaurants-TJ5232-Buenos_Aires_City_Argentina-Kosher_Eateries.html,פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת
8079,McDonalds,Buenos Aires,Argentina,"Av. Corrientes 3247, Buenos Aires, Buenos Aires, C1193 CABA, Argentina",yes,directory,0.92,Ajdut Kosher (under Rabbi Daniel Oppenheimer supervision),"מיקדונלדס כשר באתר Av. Corrientes 3247, Buenos Aires בתוך Abasto Shopping Center, בפיקוח הרב דניאל אופנהיימר, מחזיק בסימן Ajdut Kosher, עם מפקח כשרות בזמן העבודה",https://www.totallyjewishtravel.com/Kosher_Restaurant-TE15809-mcdonalds-Reviews-buenos_aires_argentina.html,פתוח עד 1:30 AM בערב שישי (אחרי 21:00),פתוח 6:30 AM–12:00 AM בשבת (חופף ל-08:00–16:00)
8088,Sushi Ko Tucuman,Buenos Aires,Argentina,"Tucumán 617, CABA, C1049AAM, Argentina",unclear,directory,0.4,Chabad (possibly),"כנראה סניף של SushiKo תחת השגחת חב""ד מוזכר בתיקייה אבל כתובת מדויקת לא מאומתת - Chabad lists SushiKo at Tucumán 613, but query specifies 617; address mismatch creates uncertainty about specific location certification",https://www.jabadrecoleta.com/templates/articlecco_cdo/aid/513498/jewish/GASTRONOMA-KOSHER.htm,פתוח עד 12:30 AM בערב שישי (אחרי 21:00),
6451,מסעדת האוכל של שלום   Schalom Food,Vienna,Austria,"Rotensterngasse 16, Wien.",yes,official,0.95,Rav Binyamin Aminov / Rav Moshe Israelov (Chabad Vienna),"מסעדת Schalom Food בכתובת Rotensterngasse 16, Wien 1020 מוסמכת כשרה תחת הכשרות ראב בנימין אמינוב ורב משה ישראלוב. אתר Chabad Vienna ו-Easy Kosher Travel מאשרים זאת.",https://chabadvienna.com/en/food/1237/,,פתוח 10:00 AM–7:00 PM בשבת (חופף ל-08:00–16:00)
8015,Café de l'Avenue,Montreal,Canada,"5800 Cavendish Boulevard, Côte Saint-Luc, QC H4W 2T5, Canada",yes,directory,0.85,MK Kosher (Montreal Kosher),"קפה דה לאווניו מוכר ב-MK - מדריך קוואבט קוש וירקטורי מפורסם מציג את המקום בכתובת זו עם השגחת MK. ההתעדכנות האחרונה מ-2024, אך לא הוכחה לתעודה עדכנית מ-2026.",https://mk.ca/new-cafe-de-lavenue-goes-mk/,,פתוח 8:00 AM–4:00 PM בשבת (חופף ל-08:00–16:00)
8030,Gare 18,Montreal,Canada,"5767 Legare Street, Montreal, QC H3T 1E4, Canada",yes,directory,0.75,MK Kosher (Montreal Kosher),"TotallyJewishTravel ודיר קטלוג תייר מציין את Gare 18, 5767 Legare Street עם MK Kosher - Montreal Kosher כממשגח. ככל שהשם כתובת מתאימות, אך זהו מקור ספרייה לא רשמי.",https://www.totallyjewishtravel.com/Kosher_Restaurant-TE62171-gare_18-Reviews-montreal_quebec.html,פתוח עד 12:30 AM בערב שישי (אחרי 21:00),פתוח 4:30 AM–12:00 AM בשבת (חופף ל-08:00–16:00)
8032,Kebab Shop,Montreal,Canada,"3755 Chemin de la Côte-Sainte-Catherine, Montreal, QC H3T 1E2, Canada",unclear,none,0.1,,הכתובת 3755 Chemin de la Côte-Sainte-Catherine תופסת כעת על ידי District Bagel (בעל תעודה מ-MK Kosher). אין ראיה לקבלת הסמכה עדכנית של 'Kebab Shop' בכתובת זו; חנויות קבב טיפוסיות אינן מכשירות.,,פתוח עד 11:00 PM בערב שישי (אחרי 21:00),פתוח 11:00 AM–11:00 PM בשבת (חופף ל-08:00–16:00)
8433,Glatt Cafe & Makolet Larnaca,Larnaca,Cyprus,"Apollodorou 4, Larnaca, 6020, Cyprus",yes,directory,0.75,Chabad Lubavitch of Cyprus,"חנות כשרה בניהול חב""ד קפריסין, במיקום Apollodorou 4, לרנקה. מופיעה בתיקיות ממקורות מהימנים של קפריסין כשר וחב""ד",https://www.chabadcyprus.com/templates/articlecco_cdo/aid/6801642/jewish/Kosher-Food-and-Restaurants-in-Larnaca.htm,פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת
7343,"חב""ד לימסול",Limassol,Cyprus,"Porfyriou Dikaiou 5, Limasol 3095, Cyprus, Limassol",yes,official,0.85,Chief Rabbinate of Cyprus / Rabbi Yair Baitz (Chief Rabbi of Limassol) & Chabad Cyprus,"הפיקוח של הרב יאיר בייץ, הרב הראשי של לימסול, על המסעדה בכתובת זו מעידה על הסמכות כשרות רשמית",https://chabadlimassol.com/en/food/ and https://rabbinatecyprus.org/en/info/6372/,,פתוח 10:00 AM–7:00 PM בשבת (חופף ל-08:00–16:00)
7350,"מסעדת ירושלים – 
חב""ד פאפוס",Paphos,Cyprus,"Othelou 5, Kato Paphos 8042, Cyprus",yes,official,0.95,Chabad Cyprus (Rabbi Zeev Raskin) / Chief Rabbinate of Cyprus,"הרסטורנט רשום בתיקיה של הרבנות הראשית של קפריסין ופועל תחת השגחת חב""ד קפריסין בכשרות למהדרין",https://rabbinatecyprus.org/en/info/6372/,,פתוח 8:30 AM–9:00 PM בשבת (חופף ל-08:00–16:00)
