id,name,action,reason,old_photo_url,old_photo_source,new_photo_url,new_photo_source,new_photo_attribution,google_photo_name
6354,Delicatessen,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783405612/restaurants/google/restaurant_6354_google_800.jpg,google,Sam Aberman,places/ChIJo4qjTZoadkgRv5EqJr4Vwzo/photos/AaVGc3njryNairK5mmTcY04POcX_megjQBGlW3xZj031YRa7FIOYbJVmRBvOA6uBWzQy5bVdM18sZ8XRjV8zS5BlH8KQD24IQnC_s6rU8b1pG_WKBCao1YS4vSiRHcHLALxFpDsPMylnUjkzIpU3HeGJsFSI7onoJDVNtZRqxKq48x-Nyukm7yIh0LrvHjDqfP1d2pGYFAsoKLYqNh8kVx-snw4mY4TkGiKQGoNC_nx4567C7qSOx69RXXD2wigGTSIGC_z5Rn0Q3b78-4uPpPdEpQjkYEXPhz99vou0UTesHSpDDAfVNDDCrfbV-_182ix3l4xJ0_rnMXR7ahmG6lAUshD6AnYe3Tn61M10J5uFSEIVndFpdl5sUDRkKlRF7vOhCzbtDZ1jhN5HEVAT5Kb5Q6OaQtWvyGN0kC5hTxQd4Opvpsg
8093,Amor's Take-Away,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783405614/restaurants/google/restaurant_8093_google_800.jpg,google,The Mask,places/ChIJ0cUgGb4QdkgRzApsZOIkIMw/photos/AaVGc3lF-jqtJHDGEcyKY72IaYPAp0Oo6xONEUWAQUpEknE3C3qb44BJhqdwnSQIIWrqAVi0SqUVIbvPM-Mhb0Rd84n0X5yKcZDEFVCuKmuA-OZ8XU4uQVtbmydK9sXScxJa-M9EDwrTg_bUxxmN4I4VRton743DEXFXT1GmcAzhUGTLo1Qbw-Y3luBo9_rgZ__E0lCAJrbV8jWrNd6XOfUbT9_G_Ght2_1bQLuAtpAYD9VlU96v3HqBcmkb48FmX1jhuWEB_VEddLW7G0I6IgIh9KNnMlJWS_eP9HN520YzuTUfoKphE7CJi_p8CS4tOYgqG5HXMk9i4eB472TGONT-O-bSzqXsr6sqxgYywirlkqqZlcaJ8_99v_-vyLcE-FWEicypYvJDuQIL2Tq13tBmblesiVe88nXslz0X-OanwV1qj10t
8094,Asado Mediterranean Bistro,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783405615/restaurants/google/restaurant_8094_google_800.jpg,google,Asado Mediterranean Bistro,places/ChIJgWbMmIEddkgRlNvmmro2kgU/photos/AaVGc3nNSmy4zshGy1idAW_yobA_1emx5D79LDMwqZT2aNzYEZIynTi9sgFDVFffsm3FfOvT8q1m-nYOgEHQ5r0PSoxNjhQpF8eOP_2cDVm_dRoxSa_3cByKiAdnUQjBl4k6T7aumWA1g4txT3fChMx0sseuz1vIrDrzuo7bvrDUZT1KoWbuY2NPI4qQgdhXL0YCWa5qXj9o-Mmxijsa8aVjRr1QSrgUwO-LW9K1N8zmMFWDRPhX7qGZSOsFkblehMUBf_raLgmoAKaoNmW4A6STK2AwOO9EkXa9cH5prQm6eJX5hSvsMQERmh9qzvyyvqGzgDx2N93jah9zqIsgbOyhi45aoEeyj2jnfwCrjPx6F5Shys6ThrCsUP-oC7Pc2PUomQvfLYOVTZtcBUghWPQEmsvJPMWrBqrmNzwOcQxvuwYqKg
8095,Aviv Restaurant,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783405618/restaurants/google/restaurant_8095_google_800.jpg,google,Sam Aberman,places/ChIJgcbJTqYWdkgRvm6VPEuL-bs/photos/AaVGc3nav40TiRav0iYT8Y_m65A75963ZppZFhJJxzBS1QjKxXhmUKLSYoybmQUPbDTjl0XzkLxeXp_YESDD3YHDrqR5kuxTtbF0ijAYQ_oaMUPEwXxiAZvLjvMCviUtiuhR7CvxjkHWNtH0Uxe0Xe53v08ElsB2XAmZkUVlvFq71GHUGkn4LQqNDT-pOczg_zVzbKM_S6sls47ZbyrJYa4z-q-wb0ky0OvWabUFFPjs6hhhoVo3p5_xzimEKeQzvrfDs6Ucs4yLr-rSp2dhPKROILln3xMTYYJQOJUxlWV64kNWQmsGmy1RLHeU_j55PXc4-_30ZWm8yK4jghgcxbmrxqNPQ1iEXBaBB3mOGNi4ztRz-ZmrHTQ6Zq0cp1PxvNCO9S5bZRMmCRy9DFCZhgDG_ZHUSxqhojmNiQy5TeEF9DWw7MZ24B5XSsctqS2t9Zht
8096,Bagels Bar Coffee House,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783405619/restaurants/google/restaurant_8096_google_800.jpg,google,Bagels Bar Grill House,places/ChIJv2FEOsQQdkgRk3tPEPW6HLs/photos/AaVGc3mJI58WlXlkTvFb6hLnXUKLG6sW-uV1hvT2J6H0WFcuz2P4rv-3FrCgZwduAKvaPGChdZbwbU9ffKB_J_B-upn9n1kiwhTbfydhaLQlYnAFCKL_uGUpPOknN_8A7KlI0JqHsCrXX7xdEzdaXFbQs5SL8e-GZKa34sEul7v6qQiFxjtncYYGhGnk10vqrWPT3s-cPyS3rFfpPG0eG0eb2jmUy2Yl6cehfXPMm9K-NwTR1XlaelRz77rXGcTszb9jbxpP0mEPByz46dcX-5aMG6W44wA2OpltBWzh0ICLqKCdbfWaDYasR0k2lGu-6O9SdM7QjtR2n1Hb6wz_v1Tn5EpJPMT0U_5E0XFbVeqXGqhCWag-zP144zR-HfjUXoVK8H3lovl8KjTlGjKLX4p4wK61_M9PSAFoBeQTHGc
8097,Bagels Bar Grill House,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783405620/restaurants/google/restaurant_8097_google_800.jpg,google,Bagels Bar Grill House,places/ChIJXf7gMH8RdkgR1c_U8WpSWwU/photos/AaVGc3nx8U5V-NCTVt1VA_IkllC1gzNawjM5FC2Yrlwz4cdyJApVq7uwfnEfkmHx381V1x6WJNMIOjDQn6JqIDLPSvjreBrArrcZVote6ELwpY6me5SwlY2Ka9BqSFio4RwXCfuF5euJXqwe_Gmlcc4ZFcq72fNUruRYRCexi44oY3CjdmENi0BbfuhMpgjpPYJ1oJSfvOgZVds2FsX_7mRfSU-2LB-enBRiGC9O6I2R1YHG15rcgHSlkT95Wyzta9nGep5dGWXuAlUzg-k25_lLOyjOSiWVYseRKsEqAZ-u07n6kda5w3dMkqzTY5FMBiMlfOxm9W4OHN-O4XSlLTMVeQ9vkhKWo5yJj_RI_5u74tpgxYEp8oWOXbU3YwqmvB7_rL5G6y0Aghrrk5HzlJ2FDooK7OJnYSXQjKcV38E
8098,Beit Cafe,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783405622/restaurants/google/restaurant_8098_google_800.jpg,google,goldie s,places/ChIJn-Sy1Z4RdkgRv2BjXCLllB4/photos/AaVGc3nLEU8ZDrfYbADN-4gTS12OUH2kh7YCkykTzwMPpRsMzJUFT3Fe9Bd-j9copFOYCWq9iBoif5MOE6USLhPpknw6CXMA-_fG16XMwvE1FM-n3MMCNBdqAwodj2CH8tT0cpc4bktQd-3nfnbYxa8ADt1o1tVMEbfqnViKjAIcHNVswKvixGMRQFxaHU6lM1mm0FrxxPz9yHIb3L2z4QDQJJwibiqu3L1BfYjVrM4vzz55KL0U-X6undFm6sXHkHayH2y98bPq00U4KwUFXOmiPy91g_xS0Y4v36EjFQrl0YA6TYEJZRSpaC3udyTJOrsfCqAs4OdUCfXHHa7IC5yVEORqaqnIdJ5--6SpaKy6JYiBctD3ouYrst8ZEgKUHvHB-EyjXmHbjqMxvpaG5mpDrrn4JnzAkqMItF1Thyz7uq0kdrKU
8099,Beit Hamadras,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783405624/restaurants/google/restaurant_8099_google_800.jpg,google,Beit HaMadras - Kosher Indian Restaurant,places/ChIJIUG-n8UQdkgR04Cw-uysEIc/photos/AaVGc3n9qb8RQZLnHKM9JE3NE_4vt8FZmwxSmnSus5aA47yLDuTPkbV9uzHb4RutxoePYCfu1tbuyTAVzLsyLjpBYf2JGvLCBTlF6C2z1usa8kvHd_cYtGCfTKDwlT2C-UA_20hwDciuytb8LlqMYSWFacUefnjMsqKmC8FIy9M3mObMd1pmGSyXE0lVl_PsMUfV6qDHywpdfNK1mwFIULrBioABoK_ePzvRilepn81-4UzrcWcHCBFdmhnS7MrOIsumrlgLI4tmL_HigrRMvAxV6wYcc_hwAKHH1kB9KibOu3M21mf4bJpuK5bnVUIqXXfgWPAoLFjY7oTjp_89W1qd5rsELSx0q7953vmdj8oa89edGtfnm4ybkSNEwHpbGMw2z4YOAvdmFXknaQHIBXSLrpzXG0eWoFXm1FEVtqlznXpkAw
8100,Bonjour Bakery & Café,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783405626/restaurants/google/restaurant_8100_google_800.jpg,google,Sam Aberman,places/ChIJlxuEN8QQdkgRn_Ukrc8L9os/photos/AaVGc3lctJ70PHvyiOeQxS-pdqe7CtqgEqu-q-vRSSt4gSb0qkznA4nvLKPxXe-wMtRlFfz96yfaGsVbwih3FRgD63WALfuwq41vBs-QqJmb9LTU9bdxsc-_ZbUXWvUAoJMX2xDDKSeTI_3Uk9JFOzOi4Plpsr0wzQWx-MpsFt0fFJzXXTPblQp8glqimAZP9WXodmjTSQ0rSXW05EQE9FxqlKPdwP-9JKPilFH5eFEL6573FHJEzahLmlRbsKurii8Zb2fanV-IKAC0fX1Q5Yb7YKmKsVX-BJ9k1601fD4eu14nY9XXaFHRMjnI8Z6DHGIoxk1BOMX3NF4S59WhCfa-5zxy_9gpO7oD-Lx15U59K2cK2TS3K5_jD-dHpxbBM8VmMisFAL87P6llYbYbgsYg2Sb8foggsuo183WmRNh1kSBZgZ59
8101,Booya Kosher Gelato,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783405627/restaurants/google/restaurant_8101_google_800.jpg,google,alex alex,places/ChIJH7I5wOARdkgRV6SPnBfhvgk/photos/AaVGc3mL0wQ5zFGr3aQsBFWHfw5xLZMjU-Ci14vjo-Cjg_ygPJuCzn_Uyp0AfZGoS65u7UYMjujmDXg07oY4SKIVaErnHY63oF1JKol6MIUoO-x_z3WkY6DNYsaudhTMMzBxtssF87fkLqYKprkB_dlj7lfs3ApQUlJz246yRKPy1Uwwk-ChOaSAko76LdrdRSexTrRhd5WMqAsUtxTBY4rRXq6Tkq_Jf6XVqQ2S3Bmz1aYjHZfPOMjWyWeGQoP_RdG9dhsQLedSNXx66cD1X3emj_mPCVEWV1rbr3h3JNJkV99aA8r72lUfIFhGyR43tyw48jCceigYaL34-kzFHqE9whS1xGB5Fg4sFLqK9sinXhUXRQoXVDAk0sT4BPUBGC-laHR9bImcE6j7HpP0blOAAymuam69rkAk1QrViqJrMyhp38R9YQwX5krdv7ZR6g
