id,name_type,verdict,confidence,our_name,google_name,our_address,google_address,distance_m,reason
6866,unique,uncertain,0,סטייג',Maale Adumim Cultural Hall,"דרך מדבר יהודה 8, מעלה אדומים","דרך מדבר יהודה 8, Derekh Midbar Yehuda 5, Ma'ale Adumim",457,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
2525,unique,uncertain,0,סאן סושי ונודלס,San Sushi Ashdod,"שדרות הנשיא בן צבי 1, נהריה, Israel","Ha-Gdud ha-Ivri St, Ashdod, Israel",141735,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
5869,unique,uncertain,0,מאנקי בורגר,מאנקי בורגר,"דרך הבנים 4, פרדס חנה-כרכור, Israel","Derech HaBanim 4, Pardes Hana-Karkur, Israel",258,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
6068,unique,uncertain,0,המטבח של סילביה,המטבח של סלביה,"סוקולוב 37, שופינג סנטר רמת השרון, רמת השרון, Israel","43,, Sokolov 33, Ramat HaSharon, Israel",2915,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
5341,unique,uncertain,0,עדן לכרמל,Eden Carmel,"אדניהו הכהן 5, ירושלים, Israel","17 פריגן מעלה אדומים, Ma'ale Adumim",10772,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
584,unique,uncertain,0,המאפה הצרפתי,Le Parisien,"נתניה, Israel","Israel Zangvill St 14, Netanya, Israel",471,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
3321,unique,uncertain,0,מהמטבח של חני,Yehuda Halevi St 49,"יהודה הלוי 49, גבעת שמואל, Israel","Yehuda Halevi St 49, Giv'at Shmuel, Israel",88,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
5800,unique,uncertain,0,מאפיית שיבולת הארץ,שיבולת הארץ,"סוקולוב 17, הרצליה, Israel","Sokolov St 17, Herzliya, Israel",675,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
2448,unique,uncertain,0,פיצה דה לה קאזה,דה לה קאזה,"ניצנים 39, מגדל העמק, Israel","קניון מרכז העמק, Nitsanim 45, Migdal HaEmek, Israel",351,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
2689,chain,uncertain,0,פיצה האט,Pizza Hut,"קרית אתא, Israel","Kiryat Ata, Israel",4160,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
5022,unique,uncertain,0,פאלאס,Waldorf Astoria Jerusalem,"אגרון 26, ירושלים, Israel","Gershon Agron St 26-28, Jerusalem, 9419008, Israel",125,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
5554,unique,uncertain,0,יוגו,Yogo,"ביל""ו 2, קניון רחובות, Israel","Bilu St 2, Rehovot, Israel",20029,"error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"","
